DESTINATION,DESTINATION CODE,EFFECTIVE DATE,RATES (US$),STATUS,BILLING INCREMENT,DELETION DATE
Albania - AMC,35527880,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527923,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527950,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527970,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35527990,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528143,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528144,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528190,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528223,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528250,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528290,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528323,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528350,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528390,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528450,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528523,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528570,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528623,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528643,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528680,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528763,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528790,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528823,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528850,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528870,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528890,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528950,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528970,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35528990,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529140,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529190,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529240,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529280,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529340,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529370,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529390,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529423,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529460,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529490,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529523,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529550,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529570,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529590,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529623,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529650,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529680,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529723,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529750,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529763,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35529780,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35531150,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35531151,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35531250,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35531350,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35531351,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3553270,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3553350,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3553351,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3553490,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3553491,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3553560,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536023,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536043,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536063,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536073,07-Jun-17,0.1285,Same, 1/1,
