Alcazar Networks International Rate Deck,,
International Conversational Traffic - NOT DIALER,,
Effective Date: 11/23/2015 12:00AM EST,,
All calls billed by DNIS,,
Billing Interval: interval1 first increment in seconds, interval2 all other increments in seconds
,,
dest description,destination,rate,bill interval 1,bill interval 2
"Algeria Cellular-Djezzy","2137899",0.44100,1,1
"Algeria Cellular-Djezzy","21379",0.44100,1,1
"Algeria Cellular-Ooredoo","2135",0.50820,1,1
"Algeria,Algiers","21321",0.05600,1,1
"Andorra","376",0.02240,1,1
"Andorra Cellular","3763",0.19180,1,1
"Andorra Cellular","3764",0.19180,1,1
"Andorra Cellular","3765",0.19180,1,1
"Andorra Cellular","3766",0.19180,1,1
"Angola","244",0.04760,1,1
"Angola Cellular-Movicel","24491",0.21980,1,1
"Angola Cellular-Movicel","24499",0.21980,1,1
"Angola Cellular-Unitel","24492",0.21980,1,1
"Angola Cellular-Unitel","24493",0.21980,1,1
"Angola Cellular-Unitel","24494",0.21980,1,1
"Antarctica","672",6.61500,1,1
"Antarctica,Norfolk Island","6723",1.19000,1,1
"Argentina","54",0.02730,1,1
"Argentina Cellular","549",0.26838,1,1
"Argentina Cellular-Buenos Aires","54911",0.19740,1,1
"Argentina,Bahia Blanca","54291",0.01344,1,1
"Argentina,Buenos Aires","5411",0.01414,1,1
"Argentina,Campana","543489",0.01428,1,1
"Argentina,Cities","542293",0.01512,1,1
"Argentina,Cities","542302",0.01512,1,1
"Argentina,Cities","542362",0.01512,1,1
"Argentina,Cities","54237",0.01512,1,1
"Argentina,Cities","54332",0.01512,1,1
"Argentina,Cities","54343",0.01512,1,1
"Argentina,Cities","543461",0.01512,1,1
"Argentina,Cities","543462",0.01512,1,1
"Argentina,Cities","543464",0.01512,1,1
"Argentina,Cities","543476",0.01512,1,1
"Argentina,Cities","543541",0.01512,1,1
"Argentina,Cities","543543",0.01512,1,1
"Argentina,Cities","543571",0.01512,1,1
"Argentina,Cities","54372",0.01512,1,1
"Argentina,Cities","543783",0.01512,1,1
"Argentina,Cities","54379",0.01512,1,1
"Argentina,Cities","54387400",0.01512,1,1
"Argentina,Cities","54387401",0.01512,1,1
"Argentina,Cities","5438742",0.01512,1,1
"Argentina,Cities","54387431",0.01512,1,1
"Argentina,Cities","54387432",0.01512,1,1
"Argentina,Cities","54387434",0.01512,1,1
"Argentina,Cities","54387435",0.01512,1,1
"Argentina,Cities","54387436",0.01512,1,1
"Argentina,Cities","54387437",0.01512,1,1
"Argentina,Cities","543874384",0.01512,1,1
"Argentina,Cities","543874385",0.01512,1,1
"Argentina,Cities","543874386",0.01512,1,1
"Argentina,Cities","543874387",0.01512,1,1
"Argentina,Cities","543874388",0.01512,1,1
"Argentina,Cities","54387439",0.01512,1,1
"Argentina,Cities","54387495",0.01512,1,1
"Argentina,Cities","54387497",0.01512,1,1
"Argentina,Cordoba","54351",0.01512,1,1
"Argentina,Cordoba","54358",0.01512,1,1
"Argentina,La Pampa","54230",0.03472,1,1
"Argentina,La Plata","54221",0.01512,1,1
"Argentina,Lujan","542323",0.01512,1,1
"Argentina,Mar Del Plata","54223",0.01330,1,1
"Argentina,Mendoza","54261",0.01344,1,1
"Argentina,Neuquen","54299",0.01428,1,1
"Argentina,Pilar","54232",0.01596,1,1
"Argentina,Resistencia","54362",0.01344,1,1
"Argentina,Resistencia","543722",0.01344,1,1
"Argentina,Rosario","54341",0.01428,1,1
"Argentina,Salta","54387",0.03640,1,1
"Argentina,San Luis","542652",0.01596,1,1
"Argentina,San Luis","542664",0.01596,1,1
"Argentina,Santa Fe","54342",0.01330,1,1
"Argentina,Tucuman","54381",0.01344,1,1
"Argentina,Zarate","54348",0.01344,1,1
"Armenia","374",0.20720,1,1
"Armenia Cellular","3745",0.23702,1,1
"Armenia Cellular","3747",0.23702,1,1
"Armenia Cellular","3749",0.23702,1,1
"Armenia Cellular-Beeline","37443",0.26250,1,1
"Armenia Cellular-Beeline","37491",0.26250,1,1
"Armenia Cellular-Beeline","37496",0.26250,1,1
"Armenia Cellular-Beeline","37499",0.26250,1,1
"Armenia Cellular-MTS","37449",0.25620,1,1
"Armenia Cellular-MTS","37477",0.25620,1,1
"Armenia Cellular-MTS","37493",0.25620,1,1
"Armenia Cellular-MTS","37494",0.25620,1,1
"Armenia Cellular-MTS","37498",0.25620,1,1
"Armenia Cellular-Nagorny Karabakh","37497",0.26460,1,1
"Armenia Cellular-Orange","37441",0.26390,1,1
"Armenia Cellular-Orange","37455",0.26390,1,1
"Armenia Cellular-Orange","37495",0.26390,1,1
"Armenia,Nagorny Karabakh","37447",0.17346,1,1
"Armenia,Ucom","37411",0.20720,1,1
"Armenia,Yerevan","37410",0.20720,1,1
"Aruba","297",0.11172,1,1
"Aruba Cellular","29756",0.25200,1,1
"Aruba Cellular","29759",0.25200,1,1
"Aruba Cellular","297600",0.25200,1,1
"Aruba Cellular","297622",0.25200,1,1
"Aruba Cellular","29766",0.25200,1,1
"Aruba Cellular","29769",0.25200,1,1
"Aruba Cellular","2979",0.25200,1,1
"Aruba Cellular-Digicel","297630",0.24906,1,1
"Aruba Cellular-Digicel","297640",0.24906,1,1
